iter	Passed	Remaining
447	1124	3897
448	1127	3895
449	1130	3894
450	1132	3891
451	1134	3886
452	1136	3882
453	1139	3878
454	1141	3874
455	1143	3871
456	1145	3868
457	1147	3864
458	1150	3861
459	1152	3858
460	1154	3855
461	1157	3851
462	1159	3849
463	1162	3847
464	1164	3843
465	1166	3839
466	1168	3836
467	1171	3834
468	1173	3831
469	1176	3829
470	1178	3826
471	1180	3821
472	1182	3817
473	1185	3815
474	1187	3811
475	1189	3807
476	1192	3806
477	1194	3803
478	1196	3800
479	1199	3799
480	1202	3796
481	1204	3792
482	1206	3789
483	1209	3788
484	1211	3785
485	1213	3780
486	1215	3777
487	1218	3773
488	1220	3771
489	1223	3769
490	1226	3767
491	1228	3765
492	1230	3762
493	1232	3758
494	1234	3754
495	1236	3750
496	1238	3746
497	1241	3744
498	1243	3741
499	1245	3737
500	1248	3734
501	1250	3731
502	1252	3728
503	1254	3724
504	1257	3722
505	1259	3718
506	1262	3716
507	1263	3712
508	1266	3709
509	1268	3706
510	1270	3703
511	1273	3701
512	1276	3700
513	1278	3696
514	1280	3692
515	1282	3689
516	1284	3685
517	1286	3681
518	1289	3679
519	1292	3678
520	1294	3676
521	1297	3673
522	1299	3670
523	1301	3666
524	1304	3664
525	1307	3663
526	1309	3659
527	1311	3656
528	1313	3652
529	1315	3648
530	1317	3645
531	1320	3642
532	1323	3642
533	1325	3640
534	1328	3637
535	1330	3633
536	1332	3630
537	1334	3626
538	1337	3624
539	1339	3621
540	1341	3617
541	1343	3613
542	1345	3610
543	1347	3607
544	1349	3603
545	1352	3601
546	1354	3598
547	1356	3594
548	1358	3590
549	1360	3587
550	1362	3583
551	1364	3580
552	1367	3579
553	1370	3578
554	1373	3576
555	1375	3572
556	1377	3569
557	1379	3565
558	1381	3561
559	1383	3558
560	1386	3556
561	1389	3554
562	1391	3551
563	1393	3548
564	1396	3546
565	1398	3543
566	1400	3540
567	1404	3539
568	1406	3536
569	1408	3533
570	1410	3529
571	1412	3526
572	1414	3522
573	1417	3521
574	1420	3519
575	1422	3517
576	1425	3514
577	1427	3511
578	1429	3508
579	1431	3504
580	1433	3502
581	1436	3498
582	1437	3495
583	1439	3491
584	1442	3488
585	1444	3484
586	1446	3481
587	1448	3479
588	1451	3477
589	1453	3474
590	1455	3470
591	1457	3467
592	1459	3463
593	1461	3460
594	1464	3457
595	1467	3456
596	1469	3453
597	1471	3450
598	1474	3449
599	1476	3445
600	1478	3442
601	1480	3438
602	1483	3436
603	1485	3434
604	1488	3431
605	1490	3429
606	1493	3426
607	1495	3423
608	1497	3421
609	1500	3418
610	1502	3415
611	1505	3414
612	1507	3411
613	1509	3407
614	1511	3404
615	1513	3401
616	1516	3399
617	1518	3396
618	1521	3393
619	1523	3390
620	1525	3387
621	1527	3384
622	1530	3381
623	1532	3379
624	1534	3376
625	1536	3373
626	1538	3369
627	1540	3366
628	1542	3362
629	1544	3359
630	1548	3359
631	1550	3357
632	1552	3353
633	1555	3350
634	1556	3346
635	1558	3343
636	1560	3339
637	1564	3339
638	1566	3337
639	1569	3334
640	1571	3331
641	1573	3328
642	1575	3325
643	1578	3323
644	1580	3320
645	1582	3317
646	1585	3314
647	1587	3311
648	1589	3309
649	1591	3306
650	1594	3304
651	1596	3301
652	1599	3298
653	1601	3296
654	1603	3293
655	1605	3289
656	1607	3286
657	1610	3285
658	1613	3282
659	1615	3280
660	1618	3277
661	1620	3275
662	1622	3272
663	1624	3269
664	1628	3268
665	1630	3265
666	1632	3262
667	1634	3258
668	1636	3255
669	1638	3252
670	1640	3249
671	1643	3246
672	1646	3245
673	1648	3243
674	1650	3240
675	1652	3236
676	1654	3233
677	1656	3230
678	1659	3228
679	1661	3225
680	1664	3223
681	1666	3220
682	1668	3218
683	1671	3215
684	1673	3212
685	1675	3210
686	1677	3206
687	1679	3203
688	1682	3200
689	1684	3198
690	1686	3195
691	1689	3193
692	1692	3191
693	1694	3189
694	1696	3185
695	1699	3183
696	1701	3181
697	1703	3178
698	1705	3174
699	1708	3173
700	1711	3170
701	1713	3167
702	1715	3165
703	1717	3162
704	1720	3159
705	1722	3157
706	1725	3155
707	1727	3152
708	1729	3149
709	1731	3146
710	1733	3143
711	1735	3140
712	1737	3136
713	1740	3134
714	1742	3131
715	1744	3129
716	1747	3126
717	1749	3123
718	1751	3120
719	1753	3117
720	1756	3115
721	1758	3112
722	1760	3109
723	1763	3108
724	1765	3105
725	1768	3102
726	1770	3100
727	1773	3097
728	1775	3095
729	1777	3092
730	1779	3088
731	1781	3086
732	1783	3083
733	1786	3081
734	1789	3079
735	1792	3077
736	1794	3074
737	1796	3072
738	1799	3069
739	1801	3067
740	1803	3063
741	1806	3062
742	1808	3059
743	1810	3056
744	1812	3054
745	1815	3051
746	1817	3048
747	1820	3047
748	1823	3045
749	1825	3042
750	1827	3039
751	1829	3036
752	1831	3033
753	1833	3029
754	1835	3027
755	1838	3024
756	1840	3021
757	1842	3019
758	1844	3016
759	1846	3013
760	1848	3010
761	1850	3007
762	1853	3004
763	1855	3002
764	1858	2999
765	1860	2997
766	1863	2995
767	1865	2992
768	1867	2990
769	1870	2988
770	1872	2984
771	1874	2981
772	1876	2978
773	1878	2975
774	1880	2972
775	1883	2970
776	1886	2969
777	1888	2966
778	1891	2964
779	1893	2961
780	1895	2958
781	1897	2956
782	1900	2953
783	1902	2951
784	1904	2948
785	1906	2945
786	1908	2941
787	1911	2939
788	1913	2937
789	1915	2933
790	1918	2932
791	1920	2929
792	1922	2926
793	1924	2923
794	1926	2920
795	1929	2917
796	1931	2914
797	1933	2912
798	1936	2910
799	1938	2907
800	1940	2904
801	1942	2902
802	1945	2899
803	1947	2896
804	1950	2895
805	1952	2892
806	1954	2889
807	1956	2886
808	1959	2884
809	1961	2882
810	1964	2879
811	1966	2877
812	1969	2875
813	1971	2872
814	1973	2869
815	1975	2866
816	1977	2863
817	1979	2860
818	1982	2858
819	1985	2856
820	1987	2854
821	1990	2851
822	1992	2848
823	1994	2846
824	1996	2843
825	1999	2841
826	2001	2838
827	2003	2835
828	2005	2833
829	2007	2830
830	2010	2827
831	2012	2825
832	2015	2823
833	2018	2821
834	2020	2819
835	2022	2816
836	2025	2813
837	2026	2810
838	2028	2807
839	2031	2805
840	2033	2802
841	2035	2799
842	2037	2796
843	2040	2794
844	2042	2791
845	2044	2789
846	2047	2786
847	2049	2784
848	2051	2781
849	2053	2778
850	2056	2776
851	2058	2773
852	2061	2771
853	2064	2769
854	2066	2767
855	2068	2764
856	2070	2761
857	2072	2758
858	2074	2755
859	2076	2752
860	2079	2750
861	2081	2748
862	2084	2745
863	2086	2743
864	2088	2740
865	2090	2737
866	2093	2735
867	2096	2734
868	2098	2731
869	2100	2728
870	2102	2725
871	2104	2722
872	2106	2719
873	2109	2717
874	2113	2717
875	2115	2714
876	2118	2712
877	2120	2709
878	2122	2706
879	2124	2703
880	2126	2701
881	2129	2699
882	2131	2696
883	2133	2693
884	2135	2690
885	2137	2687
886	2139	2685
887	2142	2682
888	2144	2680
889	2146	2677
890	2148	2674
891	2150	2671
892	2152	2668
893	2155	2666
894	2157	2664
895	2160	2662
896	2163	2660
897	2165	2657
898	2167	2654
899	2169	2651
900	2171	2648
901	2173	2645
902	2176	2643
903	2179	2642
904	2181	2639
905	2183	2637
906	2186	2634
907	2188	2632
908	2190	2629
909	2194	2628
910	2196	2625
911	2198	2623
912	2200	2620
913	2202	2617
914	2204	2614
915	2207	2612
916	2210	2610
917	2212	2608
918	2215	2605
919	2217	2603
920	2219	2600
921	2221	2597
922	2224	2595
923	2226	2592
924	2228	2589
925	2230	2586
926	2232	2583
927	2234	2581
928	2236	2578
929	2239	2576
930	2241	2573
931	2243	2571
932	2245	2568
933	2248	2565
934	2250	2562
935	2252	2560
936	2254	2557
937	2257	2556
938	2260	2553
939	2262	2551
940	2264	2548
941	2266	2545
942	2268	2543
943	2270	2540
944	2273	2538
945	2275	2535
946	2279	2534
947	2281	2532
948	2284	2529
949	2286	2527
950	2289	2525
951	2291	2523
952	2294	2520
953	2296	2518
954	2298	2515
955	2300	2512
956	2302	2509
957	2305	2507
958	2307	2505
959	2310	2502
960	2312	2500
961	2315	2498
962	2317	2495
963	2319	2492
964	2321	2490
965	2324	2487
966	2326	2484
967	2328	2482
968	2330	2479
969	2332	2476
970	2334	2473
971	2336	2471
972	2339	2469
973	2341	2466
974	2343	2464
